"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSOARG00000020228",1.84747226386885,3.8092095213566,5.79621707440695,1.95956802148366e-06,0.0143370841994968,4.75754992483192
"ENSOARG00000012648",-1.60445039786073,3.61005914190285,-5.65136305557872,4.39525643750706e-06,0.0143370841994968,-4.5917590479364
"ENSOARG00000014862",-1.6237441104435,5.00919083313472,-5.46868046862267,5.0792693196139e-06,0.0143370841994968,-4.56148670342556
"ENSOARG00000002919",0.99552254210515,6.63625652512607,5.86256782694084,7.44237606174617e-06,0.0146693432368758,4.48062791215404
"ENSOARG00000018598",-0.457664099365441,10.1426299136789,-5.8064200314216,8.66163393769234e-06,0.0146693432368758,-4.44814181249289
"ENSOARG00000013421",0.848154165113957,8.24107642077343,5.67873893449142,1.1255407105485e-05,0.0158851312282078,4.39153334210288
"ENSOARG00000017735",1.13266494619289,5.58062961365417,5.04752118047729,1.73075872953513e-05,0.0209372356024336,4.29706318494109
"ENSOARG00000018615",0.516060574323728,10.9217899392745,5.70209621670736,2.03218682447269e-05,0.0215106975370434,4.26132474617793
"ENSOARG00000006492",-0.531995072420134,9.01839256138333,-5.75200928985413,2.50346152129215e-05,0.0227747322839092,-4.21448737779266
"ENSOARG00000015177",0.966225186691346,9.01853417252516,5.27479596389462,2.7479794112359e-05,0.0227747322839092,4.1934052042681
"ENSOARG00000012193",-0.53898523595048,8.60428381772405,-4.97138726927734,3.05947705911554e-05,0.0227747322839092,-4.16899350544779
"ENSOARG00000016544",-1.31818980614082,3.80238572838156,-5.26435695919096,3.25237267058487e-05,0.0227747322839092,-4.15503534119706
"ENSOARG00000000971",0.368149073074181,11.6346287199211,5.2504797743978,3.49635710546551e-05,0.0227747322839092,4.13846597512228
"ENSOARG00000013440",0.714527758945073,7.69549075290625,5.09896187892581,3.83787913375797e-05,0.0232136860747589,4.11702892984696
"ENSOARG00000003848",-0.438327331223103,11.4705940095892,-5.47872071016845,4.78193757782931e-05,0.026995631606039,-4.0660368600498
"ENSOARG00000008299",0.359831935072477,8.55716437491937,4.65884266512797,5.34163458724641e-05,0.0282706010530016,4.04015298776477
"ENSOARG00000001146",1.62548102220154,4.22921259111256,4.58891595909832,6.53588656666759e-05,0.0309463930614836,3.99257784749935
"ENSOARG00000015142",-0.3595814448932,8.80720173748305,-5.20519939729152,6.90716711183001e-05,0.0309463930614836,-3.97946106296799
"ENSOARG00000008684",-0.52092913087062,8.89994694528721,-4.83343471192504,6.94356953434328e-05,0.0309463930614836,-3.97821115660175
"ENSOARG00000010153",0.720831385344321,5.83214671487571,4.54129040444757,7.49701521837091e-05,0.0312940523303524,3.95993504509447
"ENSOARG00000007840",-0.676885519137329,7.61919727189177,-5.1810187891819,8.02582426097085e-05,0.0312940523303524,-3.94362764142371
"ENSOARG00000002234",-0.26905676199049,9.57918871802422,-5.15623621538947,8.24350721497934e-05,0.0312940523303524,-3.93720822411395
"ENSOARG00000015503",0.392644672781586,7.97117604849376,4.6077699800039,8.66834768889814e-05,0.0312940523303524,3.92512843223942
"ENSOARG00000013880",0.76353989002749,5.89729229800685,4.45284401735382,9.66731904076361e-05,0.0312940523303524,3.89879345666747
"ENSOARG00000002881",0.837140725126796,6.27868799506718,4.88239436643508,9.80266908302854e-05,0.0312940523303524,3.89542500334617
"ENSOARG00000016529",1.49968744215849,3.55513711017971,4.43799749415603,0.000100880734391276,0.0312940523303524,3.8884637481466
"ENSOARG00000007894",-0.522259911176743,8.93002372702184,-4.69993912141781,0.000102013110793821,0.0312940523303524,-3.88575318529971
"ENSOARG00000012645",-0.347599397243531,11.6197025904977,-5.07422702763906,0.000105945379667314,0.0312940523303524,-3.87655612573806
"ENSOARG00000018666",-0.280722651335243,12.7029300844208,-4.98202478307694,0.000113485384314725,0.0312940523303524,-3.85978811288321
"ENSOARG00000006480",1.21678958488693,5.16870403300077,4.39619366288934,0.000113723959818507,0.0312940523303524,3.85927488833706
"ENSOARG00000004114",0.677889554243447,6.39111342266071,4.5834610374366,0.000117209582167935,0.0312940523303524,3.85189019388071
"ENSOARG00000010875",0.506147725276974,7.21758830383285,4.57138314047075,0.000118258109892687,0.0312940523303524,3.84970926772268
"ENSOARG00000010414",-0.328364234998996,9.50215811841451,-4.63513207901159,0.000127950659924316,0.031827933521958,-3.83037011188866
"ENSOARG00000014113",0.772054807553966,4.93723180547349,4.82796221350691,0.000134840407975328,0.031827933521958,3.81744577943145
"ENSOARG00000001138",1.00582766739744,5.95716948717631,4.39155670655043,0.000136835802742215,0.031827933521958,3.81381881712253
"ENSOARG00000017157",-0.379951212699445,10.559515469248,-4.80338771347027,0.000138906338955194,0.031827933521958,-3.81010757130847
"ENSOARG00000013960",-0.571786523067174,7.58339919129825,-4.32585719210746,0.000139068675048706,0.031827933521958,-3.80981880590279
"ENSOARG00000010452",1.12588516334285,6.69235508460547,5.05461782967462,0.000144521899790372,0.0319532926066611,3.80029849067314
"ENSOARG00000006118",-0.34111627200185,11.6883105904331,-4.89458810141386,0.000148523129871889,0.0319532926066611,-3.79352590205222
"ENSOARG00000000726",1.2744798371779,3.91689255198017,4.57631806201757,0.000150936667957776,0.0319532926066611,3.78952327760069
"ENSOARG00000004251",-0.254089959405538,10.3301303016664,-4.81841603789952,0.000170468547861332,0.0351784360299567,-3.75918383759313
"ENSOARG00000018758",0.568262390667205,6.9247956685936,4.32224073897074,0.000178299165561468,0.0351784360299567,3.74793116823368
"ENSOARG00000005760",-0.381976668563458,8.27333597188963,-4.81246442540483,0.000183934347496929,0.0351784360299567,-3.74011736938727
"ENSOARG00000000822",0.62740213589216,9.31314442825393,4.84806279935488,0.000184043606952926,0.0351784360299567,3.73996810468083
"ENSOARG00000003604",-0.408561056017628,9.54784462548159,-4.54098380297345,0.000186942562747762,0.0351784360299567,-3.73603782180413
"ENSOARG00000005498",-0.73822233590885,6.89953890821759,-4.35985386500994,0.000199636729207116,0.0363471060512221,-3.71947572883408
"ENSOARG00000014084",1.18533603979259,3.41880891370496,4.5193599213112,0.000201737598536542,0.0363471060512221,3.71683061246398
"ENSOARG00000006622",-0.432732784446574,8.30042381746495,-4.32979319263756,0.000216946132189716,0.0382729134871358,-3.69841949806452
"ENSOARG00000016831",1.02576248324186,6.44718575567169,4.15311201974041,0.000227352988726517,0.0387169256782837,3.68650722657612
"ENSOARG00000019406",-0.354633865161928,8.44279437938855,-4.34693469389987,0.000228607260736205,0.0387169256782837,-3.68510624093813
"ENSOARG00000004927",0.298304514168188,10.1469731160558,4.19422342050251,0.000252205802155654,0.0411583042562464,3.66000959707007
"ENSOARG00000013748",-1.25026576799566,4.61534986558229,-4.3655388251031,0.000252743483859803,0.0411583042562464,-3.6594638589996
"ENSOARG00000015095",-0.66619647848162,7.39024168585122,-4.56664028799858,0.000267053362517757,0.0412778199129845,-3.64532570311203
"ENSOARG00000022732",-1.31091817022812,5.12926845005613,-4.59580798942308,0.000267428417517018,0.0412778199129845,-3.64496478517461
"ENSOARG00000004412",-0.835135860268479,5.54699152762926,-4.09484632041624,0.000268101097687074,0.0412778199129845,-3.64431864758582
"ENSOARG00000016353",1.50747525802103,4.68247067347253,4.08158217450532,0.000278334309804715,0.0417452644926232,3.6346721918226
"ENSOARG00000001128",1.4365105431649,2.99896612593943,4.07820961391493,0.00028099670241846,0.0417452644926232,3.63221696791031
"ENSOARG00000014457",-0.387687604656049,10.6977046943994,-4.50990872904213,0.000301630784325481,0.0440380945115202,-3.61389540427821
"ENSOARG00000002906",0.326516508480557,9.04963756624487,4.04676022854092,0.00030705641424887,0.0440704019637191,3.60927293303801
"ENSOARG00000011649",-0.537917546678113,7.99707409177233,-4.03135119680895,0.00032067491516312,0.045257919693355,-3.59799894844589
"ENSOARG00000007328",-0.292615177660457,11.7342358096163,-4.53836559567016,0.000330644192359231,0.0457014441384175,-3.59002662044361
"ENSOARG00000005495",0.99970960472148,5.84218789938403,4.42319402767894,0.000335400052249231,0.0457014441384175,3.58630235763003
"ENSOARG00000016171",-0.919638196550413,3.10535977236335,-4.13970083127794,0.000345363471063782,0.0457014441384175,-3.57865768455552
"ENSOARG00000020910",1.09133972882517,5.19287270570813,4.05951303925885,0.000345405340677695,0.0457014441384175,3.57862599664794
"ENSOARG00000008691",0.448336145403417,6.61468215160755,4.1176248554386,0.000359433930914305,0.046233314307316,3.56820595426882
"ENSOARG00000024360",1.28392463148602,2.82892613436517,3.9861324217724,0.000364144775856713,0.046233314307316,3.56479205457931
"ENSOARG00000018389",0.630513923340657,6.2250950110485,4.20110935645676,0.00036580444716464,0.046233314307316,3.5635991393523
"ENSOARG00000015884",-0.496228521663292,7.49989618564472,-4.21429227225783,0.000389027917681923,0.0478138655152977,-3.54741726454863
"ENSOARG00000019079",-0.489148251178997,7.03056214251099,-3.95578782209839,0.000396495581775386,0.0478138655152977,-3.54240541798802
"ENSOARG00000019323",-0.39430964715313,8.63417799150887,-4.1177619429055,0.000414040635869228,0.0478138655152977,-3.53096876647466
"ENSOARG00000009703",0.986057743524218,8.96444605488107,4.37977122165178,0.000416119888501703,0.0478138655152977,3.52964355169901
"ENSOARG00000003538",-1.2740698183359,3.4185531045981,-3.93729915664502,0.000417566897791927,0.0478138655152977,-3.52872494272302
"ENSOARG00000012109",1.02833722290734,4.39663413105099,3.93714933881494,0.000417742035458455,0.0478138655152977,3.52861396134194
"ENSOARG00000018491",0.749316211193759,5.99717460287855,4.1591454736593,0.000423249569959528,0.0478138655152977,3.52514592522759
"ENSOARG00000014896",1.04342339908796,2.36929194664652,3.93121788165522,0.000424733908805219,0.0478138655152977,3.52421846243458
"ENSOARG00000006142",0.515339245913879,9.05152822758485,4.0102015971333,0.000435023744270434,0.0478138655152977,3.51787102270549
